smile,classe
CC1C=C(CCCCCCCCCCCCCCCCCCC(C(CCCCCCCCCC)O)O)C(=O)O1,CHEBI_75771
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)CN)CC1=CC=C(O)C=C1,CHEBI_16670
O=C(N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(=O)N)C(O)=O)[C@H]1NCCC1,CHEBI_25676
Oc1ccc(cc1)-c1coc2cc3OCOc3c(O)c2c1=O,CHEBI_35610
[H][C@@]1(CN2CC[C@@]34C(Nc5c(O)cccc35)=C(C(=O)OC)[C@@]1([H])C[C@]24[H])C(C)=O,CHEBI_25212
SC[C@H](NC(=O)[C@@H](N)CO)C(=O)N1[C@H](CCC1)C(O)=O,CHEBI_16670
O[C@@H](CCc1ccc(O)cc1)C[C@H](O)\C=C\c1ccccc1,CHEBI_25212
O1C(C(=CC=C1/C(=C/CC)/C)C)=O,CHEBI_25212
CCCCC([O-])=O,CHEBI_76924
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccc(O)cc1,CHEBI_35610
OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,CHEBI_25212
[C@]12([C@@]3([C@@]([C@@]4(CC[C@@H]5C[C@@]4([C@H]3C(=O)O)C[C@@]5(C)O)[H])(OC1=O)CCC2)[H])C,CHEBI_76924
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])([O-])=O)NC([*])=O,CHEBI_77746
COc1c2CCC(C)(C)Oc2cc2OC[C@@H]3[C@@H](Oc4cc(O)c(CCC(C)(C)O)cc34)c12,CHEBI_76924
CCCCC\C=C/C\C=C/CC1OC1C\C=C/CCCC(O)=O,CHEBI_75771
[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H],CHEBI_77746
[H][C@@]12[C@H]3OC(=O)C(=C)[C@@H]3CC[C@]3(C)O[C@]13CC=C2C,CHEBI_35610
P(OC[C@@H](COC(CCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCCCCCC)=O)(=O)(OCCN)O,CHEBI_75771
S(CC[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CC(O)=O)C(O)=O)C,CHEBI_16670
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)[n+]2cccc(c2)C(O)=O)[C@@H](O)[C@H]1O,CHEBI_77746
[NH3+]CCc1ccccc1,CHEBI_77746
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,CHEBI_77746
CC1C=C(CCCCCCCCCCCCCCCCC(C(CCCCCCCCCCCC)O)O)C(=O)O1,CHEBI_75771
CCCCCC(C)C[C@H]1CO[C@@H](N[C@@H]1C(=O)OC)c1ccc[nH]1,CHEBI_35610
CC1=CCC[C@H]2[C@@]1(C)[C@@H](O)[C@H](O)[C@]1(C)O[C@@]3(COC(=O)C3)C[C@H](OC(=O)c3cccnc3)[C@]21C,CHEBI_35610
[H]C(=O)c1ccccc1C(O)=O,CHEBI_75771
[O-]C(=O)c1ccccc1,CHEBI_76924
O=C(N1[C@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCCN)CO,CHEBI_16670
O=C(N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=3C=4C(NC3)=CC=CC4)CC=5C=6C(NC5)=CC=CC6,CHEBI_25676
C=1C(C(=C2C(C1NC(=O)C(C)=CC=C[C@@H]([C@@H](OC(N)=O)C(C)=C[C@@H]([C@H]([C@H](C[C@@H](C2)C)OC)O)C)OC)=O)NCC=C)=O,CHEBI_35610
CC(C)CC([O-])=O,CHEBI_76924
O(P(=O)(OCCN)O)CC(OC(*)=O)COC(*)=O,CHEBI_75771
[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)COP(O)(O)=O,CHEBI_77746
CC(C)[C@@H]1CC[C@H]2[C@@]1(C)CC[C@@]1(C)[C@@H]3[C@@H](O)C[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]21C,CHEBI_76924
O[C@H](\C=C\CCCCCCCCC\C=C/CCCC\C=C/CCCCCCCCC\C=C\[C@@H](O)C#C)C#C,CHEBI_35610
O=C(N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(O)=O)C(O)=O)[C@@H](N)CC(C)C,CHEBI_25676
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CO)CCCCN,CHEBI_16670
CC1=C(C=C)\C(NC1=O)=C\c1[nH]c(Cc2[nH]c(\C=C3NC(=O)C(C=C)=C/3C)c(C)c2CCC(O)=O)c(CCC(O)=O)c1C,CHEBI_77746
N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,CHEBI_75771
Nc1nnnn1N,CHEBI_25212
Cl.OC[C@H]1O[C@@H]2[C@@H](Oc3nc(=N)ccn23)[C@@H]1O,CHEBI_35610
[H]C(=O)C[N+](C)(C)C,CHEBI_75771
C1=C(C=CC(=C1)/C=C(/C=C/2\CO[C@](C2)(C3=C(C(C(=C(O3)OC)C)=O)C)[H])\C)[N+]([O-])=O,CHEBI_35610
Cc1cc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2cc1C,CHEBI_75771
OC(=O)CCCCNC1(CCCCC1)c1ccccc1,CHEBI_25212
O=C(N1[C@@H](CCC1)C(=O)N[C@@H]([C@H](O)C)C(O)=O)[C@@H](N)CCCN=C(N)N,CHEBI_16670
[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@@H](OC=C2C(=O)OC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEBI_76924
[H][C@]12OC(=O)C(=C)[C@]1([H])[C@@H](C\C(C)=C\C[C@H](O)\C(C)=C\C[C@@H](OC(C)=O)[C@]1(C)O[C@@]21[H])OC(C)=O,CHEBI_35610
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C([O-])=O,CHEBI_77746
O=C(N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(O)=O)[C@@H](N)CC=1C=2C(NC1)=CC=CC2,CHEBI_16670
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC=C4C=CC(=O)[C@]4(C)[C@H]3CC[C@]12C)[C@H]1CC(C)=C(CO)C(=O)O1,CHEBI_25212
COc1cc2oc3-c4ccc(O)cc4OC(Cc3c(=O)c2c(O)c1\C=C\C(C)C)C(C)=C,CHEBI_35610
NCCCCNC(N)=N,CHEBI_75771
CC(N)c1ccccc1,CHEBI_77746
[H]C([O-])=O,CHEBI_77746
OC[C@H]1O[C@@H](Oc2ccc(cc2)-c2oc3cc(O)cc(O)c3c(=O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,CHEBI_76924
SC[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(O)=O,CHEBI_16670
OCc1[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]cc(CCC(O)=O)c4CC(O)=O)c(CCC(O)=O)c3CC(O)=O)c(CCC(O)=O)c2CC(O)=O)c(CCC(O)=O)c1CC(O)=O,CHEBI_75771
[H][C@@]1(Oc2cc(O)cc(O)c2C(=O)[C@@]1([H])[C@]1([H])C(=O)c2c(O)cc(OC)cc2O[C@]1([H])c1ccc(OC)cc1)c1ccc(O)cc1,CHEBI_76924
O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O,CHEBI_75771
O=C(N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC2=CC=C(O)C=C2)CC(O)=O,CHEBI_25676
[H][C@]12CC[C@@]3([H])[C@]45CCCC(C)(C)[C@@]4([H])[C@H](O)[C@@](O)(OC5)[C@]3([C@@H]1O)C(=O)C2=C,CHEBI_25212
